transaction_id,user_id,amount,merchant,category,location,device_id,timestamp,status,is_anomaly,anomaly_type
5a763264-1b8a-4f30-b900-5578ef767871,44,2870.7,DMart,Groceries,"Kolkata, IN",device-mobile-044,2026-08-11T15:17:55.823367+00:00,APPROVED,0,None
cba14f0d-8029-41a9-8d88-ea2d86869be4,18,1575.12,Reliance Digital,Electronics,"Bengaluru, IN",device-mobile-018,2026-08-11T15:27:37.823367+00:00,APPROVED,0,None
fd3027cc-f655-4a80-8bf9-9299e1914b1e,10,4222.84,Bescom,Utilities,"Hyderabad, IN",device-mobile-010,2026-08-11T15:29:11.823367+00:00,APPROVED,0,None
8a50c748-a89e-41bb-bdab-e830d15778cf,40,2835.4,BookMyShow,Entertainment,"Ahmedabad, IN",device-mobile-040,2026-08-11T15:29:26.823367+00:00,APPROVED,0,None
a81885e2-1dbc-4a2b-a365-f302aaa3353b,2,2765.78,Zomato,Food & Dining,"Pune, IN",device-mobile-002,2026-08-11T15:36:48.823367+00:00,APPROVED,0,None
1f260565-db88-4da8-b728-77a0ab01d48a,39,8671.37,Uber,Travel,"Chennai, IN",device-mobile-039,2026-08-11T15:37:19.823367+00:00,APPROVED,0,None
01ca2ffc-6842-49cd-a8c1-3fc2e7f62e57,30,842.35,Bescom,Utilities,"Bengaluru, IN",device-mobile-030,2026-08-11T15:39:59.823367+00:00,APPROVED,0,None
91fc4fce-f5e6-45d6-8e59-38d8a523a5e9,26,2453.66,CaratLane,Luxury & Jewelry,"Ahmedabad, IN",device-laptop-026,2026-08-11T15:45:01.823367+00:00,APPROVED,0,None
39f0c277-ba81-4126-93ca-e0a54c1057b1,16,2915.47,Bescom,Utilities,"Chennai, IN",device-mobile-016,2026-08-11T15:46:54.823367+00:00,APPROVED,0,None
b5610d58-7ab8-4123-b668-55b07694b77d,25,2777.55,Reliance Digital,Electronics,"Bengaluru, IN",device-mobile-025,2026-08-11T15:56:39.823367+00:00,APPROVED,0,None
1432c7f2-8c45-40d4-b10c-6621d6e9825f,11,985.47,H&M,Shopping,"Delhi, IN",device-mobile-011,2026-08-11T15:59:54.823367+00:00,APPROVED,0,None
cec6e16b-112f-452f-a84b-f68ed1ff047e,36,9111.87,Amazon India,Shopping,"Mumbai, IN",device-mobile-036,2026-08-11T16:01:15.823367+00:00,APPROVED,0,None
ffc2aa41-fbfd-445b-9b72-79570116bb5c,6,745.3,H&M,Shopping,"Hyderabad, IN",device-mobile-006,2026-08-11T16:13:27.823367+00:00,APPROVED,0,None
5f17b7d2-4a86-457e-a580-2309e60ccc38,47,1577.75,Tata Power,Utilities,"Bengaluru, IN",device-laptop-047,2026-08-11T16:15:57.823367+00:00,APPROVED,0,None
463caa10-c961-4075-9c93-c444f87a3a97,45,791.71,Apple Store,Electronics,"Ahmedabad, IN",device-mobile-045,2026-08-11T16:39:54.823367+00:00,APPROVED,0,None
06e00aa0-fda3-4a48-b67e-0b21a1c456c4,25,2364.85,Reliance Digital,Electronics,"Bengaluru, IN",device-mobile-025,2026-08-11T16:55:13.823367+00:00,APPROVED,0,None
8c788749-5763-4425-ae2e-d39c0405cc0f,18,1547.51,IndiGo,Travel,"Bengaluru, IN",device-laptop-018,2026-08-11T17:03:08.823367+00:00,APPROVED,0,None
7c405af1-1f9c-4018-b762-4fa5b8305610,5,1194.09,Steam Games,Entertainment,"Mumbai, IN",device-mobile-005,2026-08-11T17:08:47.823367+00:00,APPROVED,0,None
a1a400f4-5841-4f92-9483-8563b1027e7a,37,3269.15,Zomato,Food & Dining,"Kolkata, IN",device-mobile-037,2026-08-11T17:49:06.823367+00:00,APPROVED,0,None
0a670474-5418-44da-9be6-27e887f000ad,34,9974.28,Swiggy,Food & Dining,"Hyderabad, IN",device-mobile-034,2026-08-11T17:54:48.823367+00:00,APPROVED,0,None
805e7037-e12b-45dc-bebe-8946a0964800,36,2787.11,Ajio,Shopping,"Mumbai, IN",device-laptop-036,2026-08-11T18:00:57.823367+00:00,APPROVED,0,None
3049ba97-bf4d-4cda-a22c-c792b6d3e6de,41,399.23,H&M,Shopping,"Ahmedabad, IN",device-mobile-041,2026-08-11T18:08:53.823367+00:00,APPROVED,0,None
6893e498-a242-4a0b-aec2-9a0bb86763e3,20,808.31,Flipkart,Shopping,"Pune, IN",device-mobile-020,2026-08-11T18:19:33.823367+00:00,APPROVED,0,None
f27f72fa-7238-4d83-9401-0618238cf4f0,4,4349.22,Myntra,Shopping,"Bengaluru, IN",device-mobile-004,2026-08-11T18:20:20.823367+00:00,APPROVED,0,None
9f7384f2-1ffb-4564-9e03-a261175ea858,41,199.1,Vijay Sales,Electronics,"Ahmedabad, IN",device-mobile-041,2026-08-11T18:26:44.823367+00:00,APPROVED,0,None
ff7152d7-795c-4d08-b5b9-f1361f621fde,18,4015.9,Booking.com,Travel,"Bengaluru, IN",device-mobile-018,2026-08-11T18:34:57.823367+00:00,APPROVED,0,None
82d9fb0e-8047-41f5-87ea-b73bd0500ccf,50,995.31,BookMyShow,Entertainment,"Kolkata, IN",device-mobile-050,2026-08-11T18:36:24.823367+00:00,APPROVED,0,None
696004b5-ca1a-4d0d-a5c6-84ee1f144dcd,20,2750.18,Swiggy,Food & Dining,"Pune, IN",device-laptop-020,2026-08-11T18:42:12.823367+00:00,APPROVED,0,None
64d8bcd7-5d50-45a4-b578-8d308264edf5,8,6226.22,Jio Recharge,Utilities,"Kolkata, IN",device-mobile-008,2026-08-11T19:06:34.823367+00:00,APPROVED,0,None
b057adf4-0513-4842-ac88-d6131e8eccfe,50,884.88,Airtel Bill,Utilities,"Kolkata, IN",device-laptop-050,2026-08-11T19:08:42.823367+00:00,APPROVED,0,None
fc274909-319a-4bc6-bb36-415765dcb729,33,1901.26,H&M,Shopping,"Kolkata, IN",device-mobile-033,2026-08-11T19:32:00.823367+00:00,APPROVED,0,None
5133b20b-e3ae-4f69-87fa-baff5682fbd8,31,2562.09,BigBasket,Groceries,"Delhi, IN",device-mobile-031,2026-08-11T19:33:50.823367+00:00,APPROVED,0,None
f39b2f74-d7b6-44b2-ae09-ba430bd35d2f,19,1481.42,Netflix,Entertainment,"Kolkata, IN",device-mobile-019,2026-08-11T19:35:01.823367+00:00,APPROVED,0,None
7a17e2ad-d77a-4b3f-a53a-de33e6030042,45,1831.6,Nature's Basket,Groceries,"Ahmedabad, IN",device-mobile-045,2026-08-11T19:48:41.823367+00:00,APPROVED,0,None
3af5ab25-c858-4265-b523-d3a7c29c3adc,25,1235.14,Samsung Store,Electronics,"Bengaluru, IN",device-mobile-025,2026-08-11T20:15:42.823367+00:00,APPROVED,0,None
07befc35-bb11-45de-8e73-114312f59389,9,3134.06,Adani Gas,Utilities,"Kolkata, IN",device-mobile-009,2026-08-11T20:15:56.823367+00:00,APPROVED,0,None
3c148e84-84e9-4e84-8b59-f1e1665803f0,16,1464.74,Instamart,Groceries,"Chennai, IN",device-mobile-016,2026-08-11T20:22:49.823367+00:00,APPROVED,0,None
35ba15a7-968d-4763-9c2f-63b795917c1a,26,2258.48,Bescom,Utilities,"Ahmedabad, IN",device-mobile-026,2026-08-11T20:35:52.823367+00:00,APPROVED,0,None
286f1247-0c8b-40d9-bd62-dabc852783a2,26,5902.14,Reliance Digital,Electronics,"Ahmedabad, IN",device-mobile-026,2026-08-11T20:37:26.823367+00:00,APPROVED,0,None
f363659a-d689-450e-8c06-c3e3dfc0f5ea,40,2551.03,Flipkart,Shopping,"Ahmedabad, IN",device-mobile-040,2026-08-11T20:59:23.823367+00:00,APPROVED,0,None
